time,threads,tps,qps,r,w,o,lat,err,reconn
123,16,4163.80,116335.44,52993.47,55014.37,8327.60,9.39,10.00,0.00
124,16,4163.28,115289.78,52559.55,54403.67,8326.56,9.39,14.00,0.00
125,16,4019.02,116095.65,53062.30,54995.31,8038.05,9.22,10.00,0.00
126,16,4112.97,116050.21,52895.64,54928.62,8225.94,9.39,11.00,0.00
127,16,4102.04,116639.02,53299.46,55135.48,8204.07,9.22,20.00,0.00
128,16,3985.77,115563.28,52654.94,54936.81,7971.54,9.91,22.00,0.00
129,16,4176.07,116390.92,53171.88,54866.91,8352.14,9.22,17.00,0.00
130,16,4121.03,116131.86,52994.39,54895.41,8242.06,9.56,22.00,0.00
131,16,4164.85,116141.85,52997.10,54815.04,8329.70,9.39,21.00,0.00
132,16,4060.16,116830.56,53330.08,55380.16,8120.32,9.39,15.00,0.00
133,16,4071.93,116438.90,53173.04,55122.01,8143.85,9.39,18.00,0.00
134,16,3991.12,115266.50,52400.59,54883.67,7982.24,10.09,21.00,0.00
135,16,4000.03,116031.83,52950.38,55081.39,8000.06,9.56,20.00,0.00
136,16,4113.93,116056.96,52944.07,54885.04,8227.86,9.39,17.00,0.00
137,16,4142.12,116529.24,53167.48,55077.53,8284.23,9.06,15.00,0.00
138,16,4062.74,116123.61,53029.62,54968.50,8125.48,9.22,14.00,0.00
139,16,4060.25,115332.07,52622.22,54589.35,8120.50,9.39,15.00,0.00
140,16,4132.90,115825.20,52877.72,54681.68,8265.80,9.56,21.00,0.00
141,16,4079.97,116584.27,53109.67,55315.65,8158.95,9.56,17.00,0.00
142,16,4126.04,116502.06,53183.48,55065.50,8253.08,9.39,18.00,0.00
143,16,4094.05,116925.54,53303.70,55433.73,8188.11,9.56,14.00,0.00
144,16,4062.91,115832.42,52837.82,54868.78,8125.82,9.39,21.00,0.00
145,16,4061.05,117009.43,53478.66,55408.68,8122.10,9.39,17.00,0.00
146,16,4140.01,116114.24,52934.11,54901.11,8279.02,9.56,16.00,0.00
147,16,3985.01,116362.21,53040.10,55351.10,7971.01,10.09,19.00,0.00
148,16,4058.86,115773.02,52797.19,54858.12,8117.72,9.56,16.00,0.00
149,16,4003.09,113976.52,51993.15,53978.19,8005.18,9.73,16.00,0.00
150,16,4005.09,113870.44,51900.11,53959.16,8011.17,9.39,11.00,0.00
151,16,3945.91,113992.51,52018.86,54083.82,7889.83,9.73,22.00,0.00
152,16,4047.92,114695.70,52385.95,54212.91,8096.84,9.22,19.00,0.00
153,16,4024.27,114385.55,52185.44,54150.57,8049.53,9.56,19.00,0.00
154,16,4042.79,113567.21,51725.36,53756.26,8085.59,9.56,13.00,0.00
155,16,4009.09,114626.67,52267.22,54341.26,8018.19,9.73,14.00,0.00
156,16,4085.04,115876.26,52910.58,54796.60,8169.09,9.22,20.00,0.00
157,16,3941.69,114971.05,52550.91,54535.76,7884.39,9.56,22.00,0.00
158,16,4143.31,115314.76,52506.99,54521.14,8286.63,9.39,21.00,0.00
159,16,4140.43,115461.18,52660.78,54519.53,8280.87,9.39,21.00,0.00
160,16,4050.35,115743.12,52811.62,54830.79,8100.71,9.39,13.00,0.00
161,16,4029.20,114564.70,52266.60,54240.70,8057.40,9.56,24.00,0.00
162,16,3963.89,114195.82,52058.55,54208.49,7928.78,9.91,19.00,0.00
163,16,3993.13,113898.63,51896.65,54015.72,7986.25,9.73,21.00,0.00
164,16,4089.82,115696.90,52788.67,54728.59,8179.64,9.22,15.00,0.00
165,16,3895.10,114273.90,52151.32,54332.38,7790.20,10.09,18.00,0.00
166,16,4030.01,114634.31,52201.14,54373.15,8060.02,9.56,18.00,0.00
167,16,3952.03,113707.80,51891.36,53913.38,7903.06,9.73,23.00,0.00
168,16,4115.07,115780.89,52886.86,54662.89,8231.13,9.22,21.00,0.00
169,16,3997.78,115075.57,52574.06,54505.96,7995.55,9.56,15.00,0.00
170,16,4020.95,115921.68,52911.40,54968.37,8041.91,9.39,14.00,0.00
171,16,4100.11,115302.00,52558.37,54543.42,8200.21,9.56,23.00,0.00
172,16,4007.13,115415.86,52713.76,54687.83,8014.27,9.22,12.00,0.00
173,16,4026.83,115700.09,52869.76,54776.68,8053.66,9.22,18.00,0.00
174,16,4148.13,115373.51,52555.60,54522.66,8295.25,9.22,14.00,0.00
175,16,4009.97,114369.10,52085.59,54262.57,8020.94,9.39,13.00,0.00
176,16,4141.99,115061.67,52450.85,54326.85,8283.98,9.22,17.00,0.00
177,16,4076.99,114969.70,52387.86,54427.86,8153.98,9.56,21.00,0.00
178,16,3982.83,115463.02,52711.73,54785.64,7965.66,9.22,10.00,0.00
179,16,4034.22,114975.14,52447.80,54459.91,8067.43,9.56,17.00,0.00
180,16,4213.98,117169.37,53458.71,55281.70,8428.95,9.06,12.00,0.00
181,16,4105.86,116698.92,53263.14,55225.07,8210.71,9.39,15.00,0.00
182,16,4064.09,117068.59,53511.19,55428.23,8129.18,9.22,15.00,0.00
183,16,4064.09,116616.49,53174.14,55314.18,8128.17,9.22,20.00,0.00
184,16,4143.78,116755.81,53249.18,55219.07,8287.56,9.22,17.00,0.00
185,16,4090.20,116661.67,53211.59,55269.69,8180.40,9.56,15.00,0.00
186,16,4068.79,116538.06,53186.29,55214.19,8137.59,9.56,17.00,0.00
187,16,4129.27,116664.75,53173.53,55233.67,8257.55,9.73,20.00,0.00
188,16,4048.86,116527.10,53155.22,55274.15,8097.73,9.73,12.00,0.00
189,16,4040.83,116470.01,53027.73,55360.63,8081.65,9.73,14.00,0.00
190,16,4003.12,116418.58,53140.63,55270.70,8007.25,9.73,13.00,0.00
191,16,4160.98,116359.46,53067.76,54969.75,8321.96,9.22,15.00,0.00
192,16,4072.16,116612.72,53175.15,55293.24,8144.33,9.56,24.00,0.00
193,16,4164.02,117043.61,53428.28,55288.29,8327.04,9.06,24.00,0.00
194,16,4050.92,116715.57,53273.89,55338.85,8102.83,9.22,21.00,0.00
195,16,4130.80,116459.24,53111.37,55086.28,8261.59,9.56,22.00,0.00
196,16,4053.23,116841.56,53245.99,55489.11,8106.45,9.56,21.00,0.00
197,16,4144.93,117167.16,53490.16,55387.13,8289.87,9.22,19.00,0.00
198,16,4103.95,116307.67,53021.39,55078.37,8207.91,9.56,18.00,0.00
199,16,4103.95,116823.67,53343.39,55272.37,8207.91,9.22,17.00,0.00
200,16,4094.20,116691.81,53239.65,55263.75,8188.41,9.39,15.00,0.00
201,16,4109.93,116208.97,52947.08,55042.04,8219.86,9.56,21.00,0.00
202,16,4093.02,116821.57,53314.26,55321.27,8186.04,9.56,19.00,0.00
203,16,3987.92,115842.76,52815.98,55050.93,7975.85,9.73,15.00,0.00
204,16,4120.00,116751.03,53230.01,55281.01,8240.00,9.39,11.00,0.00
205,16,4108.96,117256.88,53477.49,55561.47,8217.92,9.39,21.00,0.00
206,16,4092.17,117555.93,53723.25,55649.33,8183.34,9.22,20.00,0.00
207,16,4052.88,116005.64,52731.47,55168.40,8105.77,10.09,14.00,0.00
208,16,4050.13,115477.71,52724.70,54651.76,8101.26,9.39,18.00,0.00
209,16,4016.89,116552.83,53217.55,55302.49,8032.78,9.56,19.00,0.00
210,16,4086.18,115577.97,52569.26,54835.36,8173.35,9.91,23.00,0.00
211,16,4156.93,115387.93,52580.06,54495.02,8312.85,9.39,14.00,0.00
212,16,4142.00,115727.97,52792.99,54649.99,8285.00,9.22,22.00,0.00
213,16,4022.92,114684.74,52389.97,54248.93,8045.84,9.22,18.00,0.00
214,16,4047.94,115215.15,52515.16,54604.13,8095.87,9.39,23.00,0.00
215,16,4071.97,115347.04,52633.56,54569.54,8143.93,9.39,16.00,0.00
216,16,4031.29,114722.29,52278.78,54380.93,8062.58,9.39,19.00,0.00
217,16,4017.82,115482.70,52692.58,54754.49,8035.63,9.39,10.00,0.00
218,16,4086.11,115248.14,52541.43,54534.48,8172.22,9.39,19.00,0.00
219,16,4056.97,114945.26,52475.66,54356.65,8112.95,9.22,15.00,0.00
220,16,4039.93,114733.93,52306.06,54347.02,8080.85,9.39,18.00,0.00
221,16,4030.95,115053.56,52481.34,54510.32,8061.90,9.39,15.00,0.00
222,16,4099.98,114941.58,52561.81,54179.80,8199.97,9.06,17.00,0.00
223,16,3925.96,114550.76,52198.43,54500.41,7851.91,10.09,10.00,0.00
224,16,4037.15,114596.38,52166.00,54356.08,8074.31,9.73,22.00,0.00
225,16,4007.91,116273.49,53083.86,55173.81,8015.83,9.56,12.00,0.00
226,16,4074.02,115127.46,52376.21,54604.22,8147.03,9.91,13.00,0.00
227,16,4127.14,116105.85,53066.76,54783.81,8255.27,9.22,27.00,0.00
228,16,4101.81,116464.72,53106.59,55154.50,8203.63,9.39,24.00,0.00
229,16,4126.91,116024.52,52924.87,54845.83,8253.82,9.39,15.00,0.00
230,16,4013.16,115823.65,52799.12,54998.21,8026.32,9.73,19.00,0.00
231,16,4042.88,115749.50,52809.40,54854.34,8085.76,9.39,18.00,0.00
232,16,4106.04,115762.26,52891.58,54658.60,8212.09,9.22,15.00,0.00
233,16,4059.10,116322.74,53074.25,55130.30,8118.19,9.56,23.00,0.00
234,16,4046.04,116212.24,53136.57,54983.59,8092.09,9.39,21.00,0.00
235,16,4006.91,114794.46,52429.84,54350.80,8013.82,9.73,18.00,0.00
236,16,3967.14,115146.02,52597.84,54613.91,7934.28,9.56,14.00,0.00
237,16,4039.91,115663.36,52843.80,54739.75,8079.82,9.22,16.00,0.00
238,16,4137.96,114804.96,52210.53,54318.51,8275.93,9.39,21.00,0.00
239,16,4018.95,114728.64,52292.38,54398.36,8037.90,9.39,19.00,0.00
240,16,4072.06,115317.64,52565.75,54607.78,8144.12,9.22,10.00,0.00
241,16,4008.93,114805.12,52251.14,54536.11,8017.87,9.91,15.00,0.00
242,16,4131.01,117439.33,53604.15,55573.16,8262.02,9.22,21.00,0.00
243,16,4135.96,116811.89,53297.49,55242.47,8271.92,9.06,18.00,0.00
244,16,4045.10,117197.95,53496.34,55612.40,8089.20,9.39,20.00,0.00
245,16,4117.77,117070.34,53310.97,55523.84,8235.53,9.39,19.00,0.00
246,16,4101.17,116181.84,52951.21,55027.29,8203.34,9.56,20.00,0.00
247,16,3990.07,116493.98,53170.90,55342.94,7980.14,9.73,12.00,0.00
248,16,4113.15,117939.26,53742.94,55970.02,8226.30,9.22,20.00,0.00
