time,threads,tps,qps,r,w,o,lat,err,reconn
106,16,4717.97,135154.26,61644.66,64074.65,9434.95,7.56,17.00,0.00
107,16,4757.99,134328.63,61256.83,63554.82,9516.97,7.70,10.00,0.00
108,16,4665.06,134701.68,61494.76,63876.79,9330.12,7.56,23.00,0.00
109,16,4826.98,135322.46,61617.75,64050.74,9653.96,7.43,25.00,0.00
110,16,4767.01,134599.38,61311.17,63754.18,9534.03,7.84,26.00,0.00
111,16,4779.96,135311.74,61724.43,64027.40,9559.91,7.56,19.00,0.00
112,16,4692.01,134743.26,61437.12,63922.12,9384.02,7.98,16.00,0.00
113,16,4730.99,135849.79,62000.91,64386.90,9461.99,7.43,26.00,0.00
114,16,4682.01,134822.29,61483.13,63976.14,9363.02,7.70,21.00,0.00
115,16,4785.04,135542.04,61810.48,64160.49,9571.07,7.43,29.00,0.00
116,16,4743.97,136113.23,62059.65,64566.63,9486.95,7.56,23.00,0.00
117,16,4711.99,135467.66,61895.84,64147.84,9423.98,7.56,18.00,0.00
118,16,4701.98,135591.56,61950.80,64235.79,9404.97,7.56,17.00,0.00
119,16,4798.00,136139.08,62152.03,64391.04,9596.01,7.43,15.00,0.00
120,16,4751.03,135552.81,61942.37,64108.38,9502.06,7.43,16.00,0.00
121,16,4782.01,134856.20,61432.09,63860.09,9564.01,7.70,26.00,0.00
122,16,4810.01,134736.41,61521.19,63596.19,9619.03,7.56,20.00,0.00
123,16,4792.97,136065.11,62051.59,64426.58,9586.94,7.43,24.00,0.00
124,16,4775.99,135433.77,61752.90,64128.89,9551.98,7.56,13.00,0.00
125,16,4714.97,134993.19,61514.63,64049.62,9428.94,8.13,25.00,0.00
126,16,4708.08,135481.25,61806.03,64258.07,9417.16,7.56,24.00,0.00
127,16,4784.98,136384.48,62285.76,64528.75,9569.96,7.30,29.00,0.00
128,16,4764.99,131380.68,59884.85,61966.85,9528.98,7.70,20.00,0.00
129,16,4711.00,132342.09,60319.04,62600.04,9423.01,7.70,17.00,0.00
130,16,4592.00,131372.92,59899.96,62290.96,9181.99,8.13,14.00,0.00
131,16,4738.99,132429.78,60435.90,62513.90,9479.98,7.70,15.00,0.00
132,16,4671.03,132396.90,60440.41,62614.42,9342.06,7.70,16.00,0.00
133,16,4559.02,130906.50,59721.23,62067.24,9118.03,8.13,19.00,0.00
134,16,4634.97,132571.09,60458.59,62842.57,9269.94,7.70,14.00,0.00
135,16,4704.03,132415.92,60388.42,62621.43,9406.07,7.70,21.00,0.00
136,16,4681.95,131863.73,60124.42,62373.40,9365.91,7.70,28.00,0.00
137,16,4672.04,133181.09,60717.50,63119.52,9344.08,7.84,22.00,0.00
138,16,4655.96,131816.83,60107.47,62397.45,9311.92,7.84,25.00,0.00
139,16,4668.99,132799.79,60641.90,62820.90,9336.98,7.70,19.00,0.00
140,16,4689.03,131997.90,60147.41,62471.43,9379.06,7.98,21.00,0.00
141,16,4681.01,132358.23,60288.11,62708.11,9362.02,7.84,26.00,0.00
142,16,4613.01,132859.39,60675.18,62958.18,9226.03,7.84,26.00,0.00
143,16,4599.99,132234.71,60327.87,62706.86,9199.98,8.13,25.00,0.00
144,16,4703.97,131954.15,60089.62,62457.60,9406.94,7.84,19.00,0.00
145,16,4667.01,132415.25,60452.11,62628.12,9335.02,7.70,16.00,0.00
146,16,4652.99,132889.67,60613.85,62969.84,9305.98,7.84,15.00,0.00
147,16,4570.01,132782.27,60681.12,62961.13,9140.02,7.70,20.00,0.00
148,16,4649.03,132533.96,60477.44,62758.45,9298.07,7.70,15.00,0.00
149,16,4598.99,133340.58,60969.81,63172.80,9197.97,7.70,13.00,0.00
150,16,4571.01,132383.25,60345.11,62896.12,9142.02,8.43,13.00,0.00
151,16,4586.99,133509.77,60906.89,63428.89,9173.98,9.22,22.00,0.00
152,16,4735.92,134155.77,61183.98,63500.95,9470.84,7.56,29.00,0.00
153,16,4649.04,133674.22,61000.56,63374.58,9299.08,7.70,19.00,0.00
154,16,4658.00,134255.00,61322.00,63617.00,9316.00,7.70,15.00,0.00
155,16,4607.03,133298.91,60789.42,63296.43,9213.06,8.13,18.00,0.00
156,16,4659.92,132655.84,60396.02,62938.97,9320.85,8.13,24.00,0.00
157,16,4766.10,134012.71,61105.24,63375.28,9532.19,7.70,30.00,0.00
158,16,4579.96,132111.89,60252.50,62700.48,9158.92,9.22,22.00,0.00
159,16,4699.02,133920.59,61124.27,63397.28,9399.04,7.56,18.00,0.00
160,16,4626.98,133784.46,61026.75,63503.74,9253.96,7.70,14.00,0.00
161,16,4635.99,133620.75,60909.88,63438.88,9271.98,8.13,18.00,0.00
162,16,4629.01,131886.32,60107.15,62521.15,9258.02,9.06,21.00,0.00
163,16,4667.01,134101.21,61149.10,63618.10,9334.01,7.70,15.00,0.00
164,16,4709.02,132591.63,60472.29,62701.30,9418.04,8.13,25.00,0.00
165,16,4728.97,133918.04,61117.56,63343.55,9456.93,7.70,21.00,0.00
166,16,4795.01,136776.19,62421.09,64764.09,9591.01,7.43,21.00,0.00
167,16,4732.96,136864.87,62499.49,64899.47,9465.92,7.43,18.00,0.00
168,16,4779.02,136627.48,62272.22,64797.23,9558.03,7.84,23.00,0.00
169,16,4714.04,135319.15,61751.52,64139.54,9428.08,7.56,19.00,0.00
170,16,4801.94,136549.35,62352.24,64593.22,9603.88,7.43,21.00,0.00
171,16,4761.00,137133.10,62602.04,65009.05,9522.01,7.56,23.00,0.00
172,16,4777.97,135884.28,61868.67,64459.66,9555.95,7.84,29.00,0.00
173,16,4835.04,136498.20,62278.55,64550.57,9669.09,7.43,28.00,0.00
174,16,4711.03,135659.79,61858.36,64378.38,9423.06,8.74,30.00,0.00
175,16,4803.83,136446.09,62275.76,64563.68,9606.65,7.43,19.00,0.00
176,16,4746.13,135998.62,62056.65,64448.72,9493.25,7.56,22.00,0.00
177,16,4854.03,136006.91,62018.42,64280.43,9708.07,7.56,22.00,0.00
178,16,4863.67,136449.80,62172.81,64550.65,9726.34,7.43,29.00,0.00
179,16,4840.32,135748.96,61940.09,64127.23,9681.64,7.43,23.00,0.00
180,16,4734.99,136915.73,62403.88,65044.87,9466.98,7.70,19.00,0.00
181,16,4740.00,136436.02,62421.01,64532.01,9483.00,7.56,26.00,0.00
182,16,4795.02,136047.66,61948.30,64510.31,9589.05,7.56,16.00,0.00
183,16,4805.98,136222.52,62177.78,64431.77,9612.97,7.56,26.00,0.00
184,16,4739.99,136106.74,62033.88,64594.88,9477.98,8.13,22.00,0.00
185,16,4875.99,136664.81,62322.91,64587.91,9753.99,7.43,24.00,0.00
